Date,EM,ES,MMT,MMS,PDT,PDS,PUT,PUS,IM,All
Tue_Mar_06_150521_EST_2012,2,0,0,0,0,0,0,0,0,2
Thu_Aug_09_110432_EDT_2012,0,0,0,0,0,0,0,0,5,5
Wed_Jan_12_105742_EST_2011,2,0,0,0,0,0,0,0,0,2
Wed_Nov_02_174116_EDT_2011,0,0,0,0,0,0,0,0,2,2
Thu_Nov_10_143248_EST_2011,2,0,0,0,0,0,0,0,0,2
Fri_Sep_13_090857_EDT_2013,0,0,0,0,0,0,0,0,2,2
Wed_Sep_14_160656_EDT_2011,2,0,0,0,0,0,0,0,0,2
Wed_Oct_05_144030_EDT_2011,2,0,0,0,0,0,0,0,0,2
Mon_May_11_060905_EDT_2015,2,0,0,0,0,0,0,0,0,2
Wed_Feb_01_093405_EST_2012,4,0,0,0,0,0,0,0,0,4
Fri_Dec_30_061801_EST_2011,0,0,0,0,0,2,0,0,0,2
Tue_Jun_21_082755_EDT_2011,2,0,0,0,0,0,0,0,0,2
Thu_Oct_20_074116_EDT_2011,2,0,0,0,0,0,0,0,0,2
Thu_Aug_11_141014_EDT_2011,2,0,0,0,0,0,0,0,0,2
Sun_Feb_10_063712_EST_2013,3,0,0,0,0,0,0,0,0,3
Mon_Dec_24_155603_EST_2012,2,0,0,0,0,0,0,0,0,2
Sun_Jan_27_152654_EST_2013,0,1,0,0,0,0,0,1,0,2
Sun_Jan_27_152654_EST_2013,0,1,0,0,0,0,0,1,0,2
Sun_Jan_27_152654_EST_2013,0,1,0,0,0,0,0,1,0,2
Sun_Jan_27_152654_EST_2013,0,1,0,0,0,0,0,1,0,2
Sun_Jan_27_152654_EST_2013,0,0,0,0,0,0,3,0,0,3
Sat_Feb_09_142505_EST_2013,1,0,6,0,0,0,0,0,0,7
Sat_Feb_09_142505_EST_2013,0,0,0,6,0,0,0,0,0,6
Thu_Sep_05_060651_EDT_2013,2,0,0,0,0,0,0,0,0,2
Thu_Sep_05_060651_EDT_2013,2,0,0,0,0,0,0,0,0,2
Thu_Sep_05_060651_EDT_2013,2,0,0,0,0,0,0,0,0,2
Thu_Sep_05_060651_EDT_2013,2,0,0,0,0,0,0,0,0,2
Thu_Sep_05_060651_EDT_2013,2,0,0,0,0,0,0,0,0,2
Thu_Sep_05_060651_EDT_2013,2,0,0,0,0,0,0,0,0,2
Thu_Sep_05_060651_EDT_2013,2,0,0,0,0,0,0,0,0,2
Thu_Sep_05_060651_EDT_2013,2,0,0,0,0,0,0,0,0,2
Wed_Jul_03_081926_EDT_2013,2,0,0,0,0,0,0,0,0,2
Tue_Jan_22_124225_EST_2013,2,0,0,0,0,0,0,0,0,2
Wed_Jan_30_115038_EST_2013,2,0,0,0,0,0,0,0,0,2
Thu_Apr_25_022623_EDT_2013,2,0,0,0,0,0,0,0,0,2
Fri_Aug_16_105210_EDT_2013,2,0,0,1,0,0,0,0,0,3
Wed_Feb_20_120507_EST_2013,5,0,0,0,0,0,0,0,0,5
Tue_Nov_20_035434_EST_2012,3,0,0,0,0,0,0,0,0,3
Tue_Mar_19_074840_EDT_2013,1,0,0,0,0,0,0,1,0,2
Wed_Jan_23_083042_EST_2013,0,0,0,0,0,0,0,2,1,3
Wed_Jan_23_083042_EST_2013,0,0,0,0,0,0,2,0,0,2
Fri_Mar_01_054811_EST_2013,2,0,0,0,0,0,0,0,0,2
