Time: 16.526331901550293

Number of clusters: 25978
Cluster 0: 25999 instances 
Cluster 1: 12 instances 
Cluster 2: 0 instances 
Cluster 3: 0 instances 
Cluster 4: 0 instances 
Cluster 5: 0 instances 
Cluster 6: 0 instances 
Cluster 7: 0 instances 
Cluster 8: 0 instances 
Cluster 9: 0 instances 
Cluster 10: 0 instances 
Cluster 11: 0 instances 
Cluster 12: 0 instances 
Cluster 13: 0 instances 
Cluster 14: 0 instances 
Cluster 15: 0 instances 
Cluster 16: 0 instances 
Cluster 17: 0 instances 
Cluster 18: 0 instances 
Cluster 19: 0 instances 
Cluster 20: 0 instances 
Cluster 21: 0 instances 
Cluster 22: 0 instances 
Cluster 23: 0 instances 
Cluster 24: 0 instances 
Cluster 25: 0 instances 
Cluster 26: 0 instances 
Cluster 27: 0 instances 
Cluster 28: 0 instances 
Cluster 29: 0 instances 
Cluster 30: 0 instances 
Cluster 31: 0 instances 
Cluster 32: 0 instances 
Cluster 33: 0 instances 
Cluster 34: 0 instances 
Cluster 35: 0 instances 
Cluster 36: 0 instances 
Cluster 37: 0 instances 
Cluster 38: 0 instances 
Cluster 39: 0 instances 
Cluster 40: 0 instances 
Cluster 41: 0 instances 
Cluster 42: 0 instances 
Cluster 43: 0 instances 
Cluster 44: 0 instances 
Cluster 45: 0 instances 
Cluster 46: 0 instances 
Cluster 47: 0 instances 
Cluster 48: 0 instances 
Cluster 49: 0 instances 
Cluster 50: 0 instances 
Cluster 51: 0 instances 
Cluster 52: 0 instances 
Cluster 53: 0 instances 
Cluster 54: 0 instances 
Cluster 55: 0 instances 
Cluster 56: 0 instances 
Cluster 57: 0 instances 
Cluster 58: 0 instances 
Cluster 59: 0 instances 
Cluster 60: 0 instances 
Cluster 61: 0 instances 
Cluster 62: 0 instances 
Cluster 63: 0 instances 
Cluster 64: 0 instances 
Cluster 65: 0 instances 
Cluster 66: 0 instances 
Cluster 67: 0 instances 
Cluster 68: 0 instances 
Cluster 69: 0 instances 
Cluster 70: 0 instances 
Cluster 71: 0 instances 
Cluster 72: 0 instances 
Cluster 73: 0 instances 
Cluster 74: 0 instances 
Cluster 75: 0 instances 
Cluster 76: 0 instances 
Cluster 77: 0 instances 
Cluster 78: 0 instances 
Cluster 79: 0 instances 
Cluster 80: 0 instances 
Cluster 81: 0 instances 
Cluster 82: 0 instances 
Cluster 83: 0 instances 
Cluster 84: 0 instances 
Cluster 85: 0 instances 
Cluster 86: 0 instances 
Cluster 87: 0 instances 
Cluster 88: 0 instances 
Cluster 89: 0 instances 
Cluster 90: 0 instances 
Cluster 91: 0 instances 
Cluster 92: 0 instances 
Cluster 93: 0 instances 
Cluster 94: 0 instances 
Cluster 95: 0 instances 
Cluster 96: 0 instances 
Cluster 97: 0 instances 
Cluster 98: 0 instances 
Cluster 99: 0 instances 
Cluster 100: 0 instances 
Cluster 101: 0 instances 
Cluster 102: 0 instances 
Cluster 103: 0 instances 
Cluster 104: 0 instances 
Cluster 105: 0 instances 
Cluster 106: 0 instances 
Cluster 107: 0 instances 
Cluster 108: 0 instances 
Cluster 109: 0 instances 
Cluster 110: 0 instances 
Cluster 111: 0 instances 
Cluster 112: 0 instances 
Cluster 113: 0 instances 
Cluster 114: 0 instances 
Cluster 115: 0 instances 
Cluster 116: 0 instances 
Cluster 117: 0 instances 
Cluster 118: 0 instances 
Cluster 119: 0 instances 
Cluster 120: 0 instances 
Cluster 121: 0 instances 
Cluster 122: 0 instances 
Cluster 123: 0 instances 
Cluster 124: 0 instances 
Cluster 125: 0 instances 
Cluster 126: 0 instances 
Cluster 127: 0 instances 
Cluster 128: 0 instances 
Cluster 129: 0 instances 
Cluster 130: 0 instances 
Cluster 131: 0 instances 
Cluster 132: 0 instances 
Cluster 133: 0 instances 
Cluster 134: 0 instances 
Cluster 135: 0 instances 
Cluster 136: 0 instances 
Cluster 137: 0 instances 
Cluster 138: 0 instances 
Cluster 139: 0 instances 
Cluster 140: 0 instances 
Cluster 141: 0 instances 
Cluster 142: 0 instances 
Cluster 143: 0 instances 
Cluster 144: 0 instances 
Cluster 145: 0 instances 
Cluster 146: 0 instances 
Cluster 147: 0 instances 
Cluster 148: 0 instances 
Cluster 149: 0 instances 
Cluster 150: 0 instances 
Cluster 151: 0 instances 
Cluster 152: 0 instances 
Cluster 153: 0 instances 
Cluster 154: 0 instances 
Cluster 155: 0 instances 
Cluster 156: 0 instances 
Cluster 157: 0 instances 
Cluster 158: 0 instances 
Cluster 159: 0 instances 
Cluster 160: 0 instances 
Cluster 161: 0 instances 
Cluster 162: 0 instances 
Cluster 163: 0 instances 
Cluster 164: 0 instances 
Cluster 165: 0 instances 
Cluster 166: 0 instances 
Cluster 167: 0 instances 
Cluster 168: 0 instances 
Cluster 169: 0 instances 
Cluster 170: 0 instances 
Cluster 171: 0 instances 
Cluster 172: 0 instances 
Cluster 173: 0 instances 
Cluster 174: 0 instances 
Cluster 175: 0 instances 
Cluster 176: 0 instances 
Cluster 177: 0 instances 
Cluster 178: 0 instances 
Cluster 179: 0 instances 
Cluster 180: 0 instances 
Cluster 181: 0 instances 
Cluster 182: 0 instances 
Cluster 183: 0 instances 
Cluster 184: 0 instances 
Cluster 185: 0 instances 
Cluster 186: 0 instances 
Cluster 187: 0 instances 
Cluster 188: 0 instances 
